20 10
11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
11 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 11
11 22 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 22 11
11 22 33 44 44 44 44 44 44 44 44 44 44 44 44 44 44 33 22 11
11 22 33 44 55 55 55 55 55 55 55 55 55 55 55 55 44 33 22 11
11 22 33 44 55 55 55 55 55 55 55 55 55 55 55 55 44 33 22 11
11 22 33 44 44 44 44 44 44 44 44 44 44 44 44 44 44 33 22 11
11 22 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 22 11
11 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 11
11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11
