20 20
5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0
5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0
5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0
5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0
5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0
5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0
5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0
5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0
5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0
5 5 5 5 5 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 50 50 50 50 50 50 50 50 50 50
0 0 0 0 0 0 0 0 0 0 50 50 50 50 50 50 50 50 50 50
0 0 0 0 0 0 0 0 0 0 50 50 50 50 50 50 50 50 50 50
0 0 0 0 0 0 0 0 0 0 50 50 50 50 50 50 50 50 50 50
0 0 0 0 0 0 0 0 0 0 50 50 50 50 50 50 50 50 50 50
0 0 0 0 0 0 0 0 0 0 50 50 50 50 50 50 50 50 50 50
0 0 0 0 0 0 0 0 0 0 50 50 50 50 50 50 50 50 50 50
0 0 0 0 0 0 0 0 0 0 50 50 50 50 50 50 50 50 50 50
0 0 0 0 0 0 0 0 0 0 50 50 50 50 50 50 50 50 50 50
0 0 0 0 0 0 0 0 0 0 50 50 50 50 50 50 50 50 50 50
